SourceFile,TargetFile
Jolt/Compute/MTL/ComputeSystemMTLImpl.h,Jolt/Compute/MTL/ComputeSystemMTL.h
Jolt/Physics/Vehicle/VehicleCollisionTester.cpp,Jolt/Physics/Vehicle/VehicleConstraint.h
Jolt/Geometry/ConvexHullBuilder2D.cpp,Jolt/Renderer/DebugRenderer.h
Jolt/Physics/Collision/Shape/BoxShape.cpp,Jolt/Physics/Collision/RayCast.h
Jolt/Physics/Constraints/SliderConstraint.h,Jolt/Physics/Constraints/ConstraintPart/RotationEulerConstraintPart.h
Jolt/Shaders/HairWrapper.cpp,HairSkinVerticesBindings.h
Jolt/Skeleton/SkeletalAnimation.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Core/Core.h,algorithm
Jolt/Physics/Constraints/ConstraintManager.h,Jolt/Core/Mutex.h
Jolt/Compute/MTL/ComputeShaderMTL.h,Jolt/Compute/ComputeShader.h
Jolt/RegisterTypes.cpp,Jolt/Physics/Collision/Shape/TaperedCapsuleShape.h
Jolt/Physics/Constraints/PulleyConstraint.cpp,Jolt/Physics/Constraints/PulleyConstraint.h
Jolt/RegisterTypes.cpp,Jolt/Physics/Collision/PhysicsMaterialSimple.h
Jolt/Core/RTTI.cpp,Jolt/Core/RTTI.h
Jolt/Compute/VK/ComputeSystemVKWithAllocator.cpp,Jolt/Compute/VK/ComputeQueueVK.h
Jolt/Physics/Body/BodyLockMulti.h,Jolt/Physics/Body/BodyLockInterface.h
Jolt/Physics/Body/MotionProperties.cpp,Jolt/Physics/Body/MotionProperties.h
Jolt/Compute/DX12/IncludeDX12.h,Jolt/Core/StringTools.h
Jolt/Compute/DX12/ComputeSystemDX12.cpp,Jolt/Compute/DX12/ComputeBufferDX12.h
Jolt/Physics/Collision/Shape/ScaledShape.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/Shape/PlaneShape.cpp,Jolt/Physics/Collision/ShapeFilter.h
Jolt/Physics/Body/MotionProperties.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/Shape/SphereShape.cpp,Jolt/Renderer/DebugRenderer.h
Jolt/Skeleton/SkeletonMapper.h,Jolt/Skeleton/Skeleton.h
Jolt/Physics/Collision/Shape/ConvexHullShape.cpp,Jolt/Physics/Collision/Shape/ScaleHelpers.h
Jolt/Jolt.h,Jolt/Math/Math.h
Jolt/Compute/VK/ComputeSystemVKImpl.cpp,Jolt/Core/IncludeWindows.h
Jolt/Physics/Constraints/SliderConstraint.h,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Physics/Collision/Shape/CapsuleShape.h,Jolt/Physics/Collision/Shape/ConvexShape.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Collision/ManifoldBetweenTwoFaces.h
Jolt/Physics/Vehicle/VehicleTrack.cpp,Jolt/Jolt.h
Jolt/Physics/Vehicle/VehicleCollisionTester.h,Jolt/Physics/Body/Body.h
Jolt/Core/Core.h,sstream
Jolt/Physics/Collision/Shape/TriangleShape.cpp,Jolt/Physics/Collision/Shape/GetTrianglesContext.h
Jolt/Geometry/IndexedTriangle.h,Jolt/Core/HashCombine.h
Jolt/Physics/Body/BodyInterface.h,Jolt/Core/Reference.h
Jolt/Physics/Collision/Shape/PolyhedronSubmergedVolumeCalculator.h,Jolt/Renderer/DebugRenderer.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Collision/InternalEdgeRemovingCollector.h
Jolt/Shaders/HairIntegrateBindings.h,HairStructs.h
Jolt/Physics/Constraints/PointConstraint.h,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Geometry/RayCylinder.h,Jolt/Math/FindRoot.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Collision/BroadPhase/BroadPhaseQuadTree.h
Jolt/Physics/Hair/HairSettings.h,Jolt/Core/Reference.h
Jolt/Compute/DX12/ComputeShaderDX12.h,Jolt/Core/UnorderedMap.h
Jolt/Physics/Collision/BroadPhase/QuadTree.cpp,Jolt/Physics/Collision/SortReverseAndStore.h
Jolt/Physics/Collision/BroadPhase/BroadPhaseQuadTree.cpp,Jolt/Physics/Collision/BroadPhase/BroadPhaseQuadTree.h
Jolt/Physics/Ragdoll/Ragdoll.cpp,Jolt/Physics/Constraints/SwingTwistConstraint.h
Jolt/Physics/Character/Character.h,Jolt/Physics/Collision/TransformedShape.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Collision/SimShapeFilterWrapper.h
Jolt/Core/StreamWrapper.h,ostream
Jolt/Physics/PhysicsSystem.cpp,Jolt/Core/JobSystem.h
Jolt/Physics/Constraints/GearConstraint.h,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Compute/ComputeSystem.h,Jolt/Compute/ComputeBuffer.h
Jolt/Physics/PhysicsUpdateContext.h,Jolt/Core/StaticArray.h
Jolt/Physics/Constraints/SliderConstraint.h,Jolt/Physics/Constraints/ConstraintPart/DualAxisConstraintPart.h
Jolt/Geometry/ConvexHullBuilder.h,Jolt/Core/Color.h
Jolt/Compute/MTL/ComputeQueueMTL.h,Jolt/Compute/ComputeQueue.h
Jolt/Physics/Collision/Shape/TriangleShape.h,Jolt/Physics/Collision/Shape/ConvexShape.h
Jolt/ObjectStream/ObjectStreamBinaryOut.cpp,Jolt/Core/StringTools.h
Jolt/Physics/Collision/Shape/TaperedCylinderShape.cpp,Jolt/Physics/Collision/CollidePointResult.h
Jolt/Physics/Collision/Shape/ConvexHullShape.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Collision/BroadPhase/ObjectVsBroadPhaseLayerFilterMask.h,Jolt/Physics/Collision/BroadPhase/BroadPhaseLayerInterfaceMask.h
Jolt/Physics/Collision/SimShapeFilterWrapper.h,Jolt/Physics/Body/Body.h
Jolt/Physics/Hair/HairSettings.cpp,Jolt/Jolt.h
Jolt/Shaders/HairUpdateVelocityBindings.h,HairStructs.h
Jolt/Physics/Collision/Shape/ScaledShape.cpp,Jolt/Physics/Collision/CollisionDispatch.h
Jolt/Physics/Collision/PhysicsMaterial.h,Jolt/Core/Reference.h
Jolt/Physics/Collision/Shape/TriangleShape.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Body/MassProperties.cpp,Jolt/Core/InsertionSort.h
Jolt/ObjectStream/ObjectStreamBinaryOut.cpp,Jolt/ObjectStream/ObjectStreamBinaryOut.h
Jolt/Physics/Constraints/SwingTwistConstraint.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/Shape/RotatedTranslatedShape.cpp,Jolt/Physics/Collision/ShapeCast.h
Jolt/Physics/Constraints/Constraint.h,Jolt/Core/NonCopyable.h
Jolt/Physics/Collision/Shape/SubShapeIDPair.h,Jolt/Physics/Collision/Shape/SubShapeID.h
Jolt/Core/LinearCurve.cpp,Jolt/Core/LinearCurve.h
Jolt/Core/Core.h,utility
Jolt/Physics/Body/Body.h,Jolt/Physics/Collision/TransformedShape.h
Jolt/Physics/Constraints/MotorSettings.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Compute/VK/ComputeShaderVK.cpp,Jolt/Compute/VK/ComputeSystemVK.h
